Timestamp,Data
2025-03-18 14:45:35,○ Centralizado
2025-03-18 14:45:35,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:36,○ Centralizado
2025-03-18 14:45:36,"Submenu-1Valores de x: 2072, y: 2105, estado_inverter: 0"
2025-03-18 14:45:37,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:38,"Submenu-1Valores de x: 2073, y: 2107, estado_inverter: 0"
2025-03-18 14:45:38,"Submenu-1Valores de x: 2066, y: 2106, estado_inverter: 0"
2025-03-18 14:45:39,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:39,"Submenu-1Valores de x: 2073, y: 2100, estado_inverter: 0"
2025-03-18 14:45:40,"Submenu-1Valores de x: 2073, y: 2106, estado_inverter: 0"
2025-03-18 14:45:41,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:41,○ Centralizado
2025-03-18 14:45:42,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:42,"Submenu-1Valores de x: 2073, y: 2106, estado_inverter: 0"
2025-03-18 14:45:43,"Submenu-1Valores de x: 2073, y: 2104, estado_inverter: 0"
2025-03-18 14:45:44,"Submenu-1Valores de x: 2073, y: 2106, estado_inverter: 0"
2025-03-18 14:45:44,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:45,"Submenu-1Valores de x: 2073, y: 2106, estado_inverter: 0"
2025-03-18 14:45:45,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:46,○ Centralizado
2025-03-18 14:45:47,"Submenu-1Valores de x: 2068, y: 2100, estado_inverter: 0"
2025-03-18 14:45:47,"Submenu-1Valores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:48,"Submenu-1Valores de x: 2074, y: 2104, estado_inverter: 0"
2025-03-18 14:45:48,"Submenu-1Valores de x: 2073, y: 2104, estado_inverter: 0"
2025-03-18 14:45:49,"Menu MainValores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:50,"Menu MainValores de x: 2074, y: 2102, estado_inverter: 0"
2025-03-18 14:45:50,"Menu MainValores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:51,"Menu MainValores de x: 2073, y: 2106, estado_inverter: 0"
2025-03-18 14:45:51,"Menu MainValores de x: 2068, y: 2101, estado_inverter: 0"
2025-03-18 14:45:52,"Menu MainValores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:53,"Menu MainValores de x: 2073, y: 2106, estado_inverter: 0"
2025-03-18 14:45:53,○ Centralizado
2025-03-18 14:45:54,"Menu MainValores de x: 2073, y: 2106, estado_inverter: 0"
2025-03-18 14:45:54,"Menu MainValores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:55,○ Centralizado
2025-03-18 14:45:56,"Menu MainValores de x: 2073, y: 2105, estado_inverter: 0"
2025-03-18 14:45:56,"Menu MainValores de x: 2068, y: 2104, estado_inverter: 0"
2025-03-18 14:45:57,"Menu MainValores de x: 2072, y: 2106, estado_inverter: 0"
